Account,total_pnl,avg_pnl,trade_count,total_volume,avg_fee,win_rate,fee_segment,frequency_segment,consistency_segment,contrarian_score
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.6,145.59,14722,56543562.4,1.09,0.791,High Fee,Frequent,Inconsistent,-360.37484141406117
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.82,419.13,3818,61697263.97,1.94,0.793,High Fee,Frequent,Inconsistent,717.2120250955313
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.81,44.36,21192,68036340.24,0.41,0.991,Low Fee,Frequent,Consistent Winner,53.72536831065542
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.56,68.68,12236,420876556.36,6.25,0.895,High Fee,Frequent,Consistent Winner,-97.80822650618924
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.55,20.81,40172,74107810.1,0.33,0.763,Low Fee,Frequent,Inconsistent,-47.02289429739171
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.05,155.63,4355,39572949.21,1.84,0.948,High Fee,Frequent,Consistent Winner,86.96216257849238
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.57,270.03,1590,11474500.92,0.98,0.746,High Fee,Infrequent,Inconsistent,-442.6798227873086
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.41,38.32,9893,25729497.24,0.26,0.926,Low Fee,Frequent,Consistent Winner,9.629092531306199
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.51,253.19,1424,2962475.47,0.2,0.774,Low Fee,Infrequent,Inconsistent,594.7918971165439
0x430f09841d65beb3f27765503d0f850b8bce7713,359063.42,295.53,1215,2796593.14,0.61,1.0,High Fee,Infrequent,Consistent Winner,-4242.399568288703
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.87,40.86,7562,129672528.36,5.39,0.927,High Fee,Frequent,Consistent Winner,48.428618336700325
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.06,83.5,2641,20737391.71,1.81,0.735,High Fee,Infrequent,Inconsistent,95.9880827412814
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.59,520.9,383,1987527.61,0.7,1.0,High Fee,Infrequent,Consistent Winner,478.504872320628
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.0,52.07,3239,10166880.2,0.96,0.817,High Fee,Infrequent,Inconsistent,-14.2416206912836
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132494.03,9.96,13300,6756237.53,0.17,0.862,Low Fee,Frequent,Consistent Winner,-30.096326699177393
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.94,41.49,3051,10992355.74,0.92,0.976,High Fee,Infrequent,Consistent Winner,-22.079953772959836
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.22,111.86,972,728055.67,0.19,0.988,Low Fee,Infrequent,Consistent Winner,-266.6856245300179
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.88,6.81,15604,19868207.89,0.15,0.97,Low Fee,Frequent,Consistent Winner,-6.4443759136294805
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.72,12.14,8513,4408827.68,0.14,0.822,Low Fee,Frequent,Inconsistent,-29.240561589769946
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.48,177.24,411,861809.04,0.46,0.937,Low Fee,Infrequent,Consistent Winner,-620.1570933635045
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.62,120.72,562,1677425.62,0.98,1.0,High Fee,Infrequent,Consistent Winner,-130.68220014525832
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.66,34.28,1911,11999173.37,1.77,0.884,High Fee,Infrequent,Consistent Winner,-143.1067122738731
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.25,163.1,328,1143895.16,0.54,1.0,Low Fee,Infrequent,Consistent Winner,-143.73770079098335
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.32,6.59,7271,12035486.94,0.38,0.774,Low Fee,Frequent,Inconsistent,-39.6766815188989
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.01,2.93,14994,12304786.57,0.25,0.599,Low Fee,Frequent,Inconsistent,-0.4658605860239238
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.5,4.65,4838,108877041.1,5.92,0.803,High Fee,Frequent,Inconsistent,-1.7628940929792414
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.83,40.75,534,4448323.26,1.01,0.748,High Fee,Infrequent,Inconsistent,10.136468235164836
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.44,9.56,1559,5844484.45,0.5,0.945,Low Fee,Infrequent,Consistent Winner,-245.29048430502237
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.92,4.03,3589,17193375.42,0.41,0.666,Low Fee,Infrequent,Inconsistent,-150.9459226317596
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.6,-40.0,780,1409896.85,0.19,0.651,Low Fee,Infrequent,Inconsistent,-195.77003599416344
0x271b280974205ca63b716753467d5a371de622ab,-70436.19,-18.5,3807,33873440.14,2.44,0.716,High Fee,Frequent,Inconsistent,-67.98523418118384
0x8170715b3b381dffb7062c0298972d4727a0a63b,-154868.21,-33.67,4600,10110847.25,0.34,0.753,Low Fee,Frequent,Inconsistent,286.09194015365074
